VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
413,CARLPERKINSCC1,AA,Orchestra Pit AA,1,A,Gold,Left
413,CARLPERKINSCC1,BB,Orchestra Pit BB,1,A,Gold,Left
413,CARLPERKINSCC1,1,Orchestra 1,2,A,Blue,Center
413,CARLPERKINSCC1,2,Orchestra 2,2,A,Blue,Center
413,CARLPERKINSCC1,3,Orchestra 3,2,A,Blue,Left
413,CARLPERKINSCC1,4,Orchestra 4,2,A,Blue,Center
413,CARLPERKINSCC1,5,Orchestra 5,2,A,Blue,Center
413,CARLPERKINSCC1,A,Balcony A,3,A,Green,Left
413,CARLPERKINSCC1,B,Balcony B,3,A,Green,Left
413,CARLPERKINSCC1,C,Balcony C,3,A,Green,Left
413,CARLPERKINSCC1,D,Balcony D,3,A,Green,Left
413,CARLPERKINSCC1,E,Balcony E,3,A,Green,Left
