"ID","Name","SearchKeywords","Img_1","Img_2","Description","Active","FT_Timestamp","FPriority","date_updated","AccessPassword","AccessRestricted","EarlyBooking","EBStartDays","EBStartsHours","EBStartsMinutes"
"1","Fashion Knight","","Blank.gif","","To highlight our newest exhibit, Mary Todd Lincoln: First Lady of Controversy, the museum welcomes Mychael Knight, finalist from the hit television show Project Runway.  Join Knight for a past-to-present comparison between Mary Lincoln's trendsetting fashions and the contemporary styles of today, including Knight's own designs.","1","000000000000019B","999","2007-06-13 14:01:42","","0","0","0","0","0"
"2","Tea Party","","","","The three-course tea includes<br>petit sandwiches, baked bread and pastries, and seasonal fruit., <br>with one tea chosen to compliment each course.<br>","1","0000000000011DAD","999","2009-02-25 10:24:30","","0","0","0","0","0"
"3","Tea with Mary Todd Lincoln","","","","Mary Todd Lincoln will serve as hostess for afternoon tea in the Lincoln Reception Room at the Abraham Lincoln Presidential Library.  The three-course tea includes assorted teas, pastries, petit sandwiches and seasonal fruit.<br><br>The November 10th tea will be a four-course tea.","1","0000000000001603","999","2007-09-06 08:52:20","","0","0","0","0","0"
"4","Belle of Springfield","","","","Belle of Springfield: An Intimate Look at Mary Lincoln  - Tour and Luncheon<br><br>Our ""tell-all"" bus tour of Mary's Springfield will include the Lincoln Home, First Presbyterian Church, Mary's final resting place in Lincoln Tomb, and ""Mary Todd Lincoln: First Lady of Controversy,"" the featured exhibit at the Abraham Lincoln Presidential Museum.<br><br>Enjoy lunch with famous biographer and historian, Jean H. Baker, whose book, Mary Todd Lincoln, will be the topic of her luncheon address.","1","0000000000000E44","999","2007-07-31 14:30:54","","0","0","0","0","0"
"5","The Last of Mrs. Lincoln","","","","The Last of Mrs. Lincoln chronicles the final seventeen years in the life of Mary Todd Lincoln. Told through a sequence of varied and theatrically brillant scenes, the play is both a true and touching portrait of a remarkable and much maligned woman, and an ironic statement on the misconstructions which history so often imposes on the truth.<br><br>Special needs accommodations available through ticket office only, call 217-558-8934.","1","0000000000001432","999","2007-08-31 13:14:41","","0","0","0","0","0"
"6","Blue Room Salon","","","","Blue Room Salon recreates Mary Todd Lincoln's informal gatherings at the White House.<br><br>The evening will feature a Mary Todd Lincoln impersonator, a live period musical group, and two ""notorious men,"" authors of recent historical works. Guests can stroll from room to room at the Museum to mingle with these participants.<br><br>Tickets include hors d' oeuvres, dessert and coffee, and wines provided by event sponsor Hill Prairie Winery of Oakford, Illinois.","1","00000000000025D4","999","2007-10-09 07:19:15.810000000","","0","0","0","0","0"
"7","Trivia Night","","","","The Abraham Lincoln Presidential Library and Museum will be hosting a Trivia Night. The trivia scheduled for that evening will be five topics related to historical facts, legends, and lore surrounding the life of Abraham Lincoln, his family and the Abraham Lincoln Presidential Library and Museum. The other five trivia categories will be general.","1","0000000000003F03","999","2008-01-27 12:15:00","","0","0","0","0","0"
"8","Allen C. Guelzo","","","","Allen C. Guelzo will discuss his new book, Lincoln and Douglas: The Debates That Defined America, and present ""Who Won The Lincoln-Douglas Debates?""<br>*Luncheon and Discussion*<br><br>","1","000000000000330E","999","2007-12-06 13:42:59","","0","0","0","0","0"
"9","Having Our Say","","","","The Delany Sisters' First 100 Years<br><br>A celebration of the lives of two exceptional women as they tell a century's worth of tales.<br><br>""Having Our Say"" tells the story of two African-American sisters, Sadi and Bessie Delany, and traces their expeirences from Reconstruction and the Jim Crow south to the Harlem Renaisance and the Civil Rights era.  Both sisters had successful careers in New York.","1","0000000000004746","999","2008-02-27 11:28:43","","0","0","0","0","0"
"10","American Girl Fashion Show","","","","The American Girl Fashion Show and Gala is a fun-filled evening for girls and their families, friends, and favorite dolls!  Celebrate the experience of being a girl, whether yesterday or today, through a colorful presentation of historical and contemporary fashions.<br><br>This event will benefit Children’s Miracle Network at St. John’s Children’s Hospital in Springfield, Illinois.  All funds raised stays in the local community in which it was generated to help area kids.","1","000000000000470F","999","2008-02-27 09:16:22.520000000","","0","0","0","0","0"
