VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
217,HANCOCKCHURCH2,LFTA,Left (Price A),2,A,Orange,Left
217,HANCOCKCHURCH2,LFTB,Left (Price B),2,A,Gold,Left
217,HANCOCKCHURCH2,LFTC,Left (Price C),2,A,Gray,Left
217,HANCOCKCHURCH2,CTRA,Center (Price A),1,A,Orange,Center
217,HANCOCKCHURCH2,CTRB,Center (Price B),1,A,Gold,Center
217,HANCOCKCHURCH2,CTRC,Center (Price C),1,A,Gray,Left
217,HANCOCKCHURCH2,RGTA,Right (Price A),1,A,Orange,Left
217,HANCOCKCHURCH2,RGTB,Right (Price B),1,A,Gold,Left
217,HANCOCKCHURCH2,RGTC,Right (Price C),1,A,Gray,Left
217,HANCOCKCHURCH2,BLCLA,Balcony Left (Price A),1,A,Orange,Left
217,HANCOCKCHURCH2,BLCLB,Balcony Left (Price B),1,A,Gold,Left
217,HANCOCKCHURCH2,BLCLC,Balcony Left (Price C),1,A,Gray,Left
217,HANCOCKCHURCH2,BLCCA,Balcony Center (Price A),1,A,Orange,Left
217,HANCOCKCHURCH2,BLCCB,Balcony Center (Price B),1,A,Gold,Left
217,HANCOCKCHURCH2,BLCCC,Balcony Center (Price C),1,A,Gray,Left
217,HANCOCKCHURCH2,BLCRA,Balcony Right (Price A),1,A,Orange,Left
