VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
1208,CAPITALCHRISTIANCENTER3,MNSA,Main Section A,9,A,BLUE,Left,,POLY,"477,109,496,96,530,129,515,147,515,147",
1208,CAPITALCHRISTIANCENTER3,MNSB,Main Section B,7,A,BLUE,Left,,POLY,"373,60,391,50,456,89,506,163,459,195,459,196",
1208,CAPITALCHRISTIANCENTER3,MNSC,Main Section C,5,A,BLUE,Center,,POLY,"343,76,367,65,447,203,396,223,396,223",
1208,CAPITALCHRISTIANCENTER3,MNSD,Main Section D,3,A,BLUE,Center,,POLY,"303,84,331,79,378,227,327,239,327,239",
1208,CAPITALCHRISTIANCENTER3,MNSE,Main Section E,1,A,BLUE,Center,,POLY,"268,84,296,84,307,227,256,227,256,227",
1208,CAPITALCHRISTIANCENTER3,MNSF,Main Section F,2,A,BLUE,Center,,POLY,"228,79,256,84,233,238,180,227,180,227",
1208,CAPITALCHRISTIANCENTER3,MNSG,Main Section G,4,A,BLUE,Center,,POLY,"194,65,218,76,164,222,114,203,114,203",
1208,CAPITALCHRISTIANCENTER3,MNSH,Main Section H,6,A,BLUE,Right,,POLY,"184,61,167,51,102,90,53,164,101,196,101,196",
1208,CAPITALCHRISTIANCENTER3,MNSI,Main Section I,8,A,BLUE,Left,,POLY,"37,152,81,109,61,96,19,137,19,137",
1208,CAPITALCHRISTIANCENTER3,BLSJ,Balcony Section J,11,A,RED,Left,,POLY,"378,330,391,313,480,346,456,377,456,377",
1208,CAPITALCHRISTIANCENTER3,BLSK,Balcony Section K,25,A,RED,Left,,POLY,"471,362,486,347,528,366,511,387,511,387",
1208,CAPITALCHRISTIANCENTER3,BLSL,Balcony Section L,23,A,RED,Left,,POLY,"457,383,469,369,519,405,500,424,500,424",
1208,CAPITALCHRISTIANCENTER3,BLSM,Balcony Section M,21,A,RED,Left,,POLY,"440,412,462,397,491,431,469,448,469,448",
1208,CAPITALCHRISTIANCENTER3,BLSN,Balcony Section N,19,A,RED,Left,,POLY,"413,431,435,418,462,453,437,470,437,470",
1208,CAPITALCHRISTIANCENTER3,BLSO,Balcony Section O,17,A,RED,Left,,POLY,"384,445,407,436,427,475,401,487,401,487",
1208,CAPITALCHRISTIANCENTER3,BLSP,Balcony Section P,15,A,RED,Left,,POLY,"352,457,377,448,394,489,368,498,368,499"
1208,CAPITALCHRISTIANCENTER3,BLSQ,Balcony Section Q,13,A,RED,Left,,POLY,"356,496,329,496,326,478,310,478,309,464,347,460,347,460"
1208,CAPITALCHRISTIANCENTER3,BLSR,Balcony Section R ,12,A,RED,Left,,POLY,"212,496,237,496,242,479,258,479,260,464,221,459,221,459,221,459"
1208,CAPITALCHRISTIANCENTER3,BLSS,Balcony Section S,14,A,RED,Left,,POLY,"190,449,215,458,199,500,173,489,173,489"
1208,CAPITALCHRISTIANCENTER3,BLST,Balcony Section T,16,A,RED,Left,,POLY,"160,437,182,445,165,487,140,476,140,476"
1208,CAPITALCHRISTIANCENTER3,BLSU,Balcony Section U,18,A,RED,Left,,POLY,"105,454,130,472,153,432,131,418,131,418"
1208,CAPITALCHRISTIANCENTER3,BLSV,Balcony Section V,20,A,RED,Left,,POLY,"74,432,97,449,125,413,104,397,104,397"
1208,CAPITALCHRISTIANCENTER3,BLSW,Balcony Section W,22,A,RED,Left,,POLY,"46,404,65,424,108,383,98,369,98,369"
1208,CAPITALCHRISTIANCENTER3,BLSX,Balcony Section X,24,A,RED,Left,,POLY,"35,367,52,388,92,362,80,347,80,347"
1208,CAPITALCHRISTIANCENTER3,BLSY,Balcony Section Y,10,A,RED,Left,,POLY,"84,346,109,376,187,330,175,314,175,314"
