EventCode,OrganizationNumber,MemberType,MemberSaleStartDate,MemberSaleEndDate
918237,120,ah001,11/8/16 21:00,11/21/16 6:00
918237,120,ap002,11/8/16 21:00,11/21/16 6:00
918237,120,at003,11/8/16 21:00,11/21/16 6:00
918237,120,ab004,11/8/16 21:00,11/21/16 6:00
918237,120,aj005,11/8/16 21:00,11/21/16 6:00
918237,120,am006,11/8/16 21:00,11/21/16 6:00
918237,120,ah007,11/8/16 21:00,11/21/16 6:00
918237,120,as008,11/8/16 21:00,11/21/16 6:00
918237,120,ah009,11/8/16 21:00,11/21/16 6:00
918237,120,am0010,11/8/16 21:00,11/21/16 6:00
918237,120,ao011,11/8/16 21:00,11/21/16 6:00
918237,120,as012,11/8/16 21:00,11/21/16 6:00
918237,120,ak013,11/8/16 21:00,11/21/16 6:00
918237,120,ac014,11/8/16 21:00,11/21/16 6:00
918237,120,am015,11/8/16 21:00,11/21/16 6:00
918237,120,ab016,11/8/16 21:00,11/21/16 6:00
918237,120,ap017,11/8/16 21:00,11/21/16 6:00
918237,120,as018,11/8/16 21:00,11/21/16 6:00
918237,120,ab019,11/8/16 21:00,11/21/16 6:00
918237,120,ai020,11/8/16 21:00,11/21/16 6:00
918237,120,ay021,11/8/16 21:00,11/21/16 6:00
918237,120,ar022,11/8/16 21:00,11/21/16 6:00
918237,120,ab023,11/8/16 21:00,11/21/16 6:00
918237,120,ae024,11/8/16 21:00,11/21/16 6:00
918237,120,bb025,11/8/16 21:00,11/21/16 6:00
918237,120,cm026,11/8/16 21:00,11/21/16 6:00
918237,120,cr027,11/8/16 21:00,11/21/16 6:00
918237,120,cj028,11/8/16 21:00,11/21/16 6:00
918237,120,cp029,11/8/16 21:00,11/21/16 6:00
918237,120,cp030,11/8/16 21:00,11/21/16 6:00
918237,120,cm031,11/8/16 21:00,11/21/16 6:00
918237,120,cv032,11/8/16 21:00,11/21/16 6:00
918237,120,cg033,11/8/16 21:00,11/21/16 6:00
918237,120,cs034,11/8/16 21:00,11/21/16 6:00
918237,120,ca035,11/8/16 21:00,11/21/16 6:00
918237,120,ch036,11/8/16 21:00,11/21/16 6:00
918237,120,cm037,11/8/16 21:00,11/21/16 6:00
918237,120,cw038,11/8/16 21:00,11/21/16 6:00
918237,120,cb039,11/8/16 21:00,11/21/16 6:00
918237,120,cb040,11/8/16 21:00,11/21/16 6:00
918237,120,cv41,11/8/16 21:00,11/21/16 6:00
918237,120,cr042,11/8/16 21:00,11/21/16 6:00
918237,120,da043,11/8/16 21:00,11/21/16 6:00
918237,120,da044,11/8/16 21:00,11/21/16 6:00
918237,120,ec045,11/8/16 21:00,11/21/16 6:00
918237,120,ea046,11/8/16 21:00,11/21/16 6:00
918237,120,ec047,11/8/16 21:00,11/21/16 6:00
918237,120,et048,11/8/16 21:00,11/21/16 6:00
918237,120,ei049,11/8/16 21:00,11/21/16 6:00
918237,120,ew050,11/8/16 21:00,11/21/16 6:00
918237,120,ey051,11/8/16 21:00,11/21/16 6:00
918237,120,ep052,11/8/16 21:00,11/21/16 6:00
918237,120,ec053,11/8/16 21:00,11/21/16 6:00
918237,120,eh054,11/8/16 21:00,11/21/16 6:00
918237,120,em055,11/8/16 21:00,11/21/16 6:00
918237,120,ew056,11/8/16 21:00,11/21/16 6:00
918237,120,ew057,11/8/16 21:00,11/21/16 6:00
