VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
413,CARLPERKINSCC7,A,Balcony A,3,A,DarkBlue,Left,,POLY,"228,190,268,183,269,264,228,272",NULL
413,CARLPERKINSCC7,B,Balcony B,3,A,DarkBlue,Left,,POLY,"178,193,220,193,221,275,177,274",NULL
413,CARLPERKINSCC7,C,Balcony C,3,A,DarkBlue,Left,,POLY,"127,195,170,196,169,276,126,276",NULL
413,CARLPERKINSCC7,D,Balcony D,3,A,DarkBlue,Left,,POLY,"79,193,120,193,121,275,76,275",NULL
413,CARLPERKINSCC7,E,Balcony E,3,A,DarkBlue,Left,,POLY,"30,183,71,191,72,272,29,263",NULL
413,CARLPERKINSCC7,1,Orchestra 1,2,A,DarkBlue,Center,,POLY,"210,96,239,85,268,170,226,182",NULL
413,CARLPERKINSCC7,2,Orchestra 2,2,A,DarkBlue,Center,,POLY,"177,119,208,115,221,183,175,186",NULL
413,CARLPERKINSCC7,2F,Orchestra 2,2,A,DarkGold,Center,,POLY,"177,104,205,99,208,114,176,118",NULL
413,CARLPERKINSCC7,3,Orchestra 3,2,A,DarkBlue,Left,,POLY,"125,118,169,119,170,186,126,186",NULL
413,CARLPERKINSCC7,3F,Orchestra 3,2,A,DarkGold,Center,,POLY,"125,104,171,103,170,121,125,119",NULL
413,CARLPERKINSCC7,4,Orchestra 4,2,A,DarkBlue,Center,,POLY,"88,114,119,119,120,186,76,182",NULL
413,CARLPERKINSCC7,4F,Orchestra 4,2,A,DarkGold,Center,,POLY,"93,98,120,102,120,120,88,114",NULL
413,CARLPERKINSCC7,5,Orchestra 5,2,A,DarkBlue,Center,,POLY,"59,84,87,96,72,181,29,168",NULL
413,CARLPERKINSCC7,AA,Orchestra Pit AA,1,A,DarkGold,Left,,POLY,"156,68,201,64,202,88,158,91",NULL
413,CARLPERKINSCC7,BB,Orchestra Pit BB,1,A,DarkGold,Left,,POLY,"95,64,140,68,138,91,94,87",NULL
